model,image,prediction,ground truth,1-NED,difflib ratio,difficult image
mmocr ABINet,108,or2w4p,OR2W4P,0.33333333333333337,0.3333333333333333,
mmocr ABINet,109,klhl23,KLHL23,0.33333333333333337,0.3333333333333333,
mmocr ABINet,110,atganet,ATG4AP1,0.0,0.0,
mmocr ABINet,111,ses,FAM107A,0.0,0.0,
mmocr ABINet,112,ma33,MIR3170,0.1428571428571429,0.18181818181818182,
mmocr ABINet,113,smantis,SMANTIS,0.0,0.0,
mmocr ABINet,114,cdrt1spie,CDRT15P1,0.11111111111111116,0.11764705882352941,
mmocr ABINet,115,xxl,ASXL2,0.0,0.0,
mmocr ABINet,116,sqledt,SQLE-DT,0.0,0.0,
mmocr ABINet,117,rn7sl57p,RN7SL57P,0.375,0.375,
mmocr ABINet,118,berg,PRRG2,0.0,0.0,
mmocr ABINet,119,pfkl,PFKL,0.0,0.0,
mmocr ABINet,120,lpar6,LPAR6,0.19999999999999996,0.2,
mmocr ABINet,121,pabpcip10,PABPC1P10,0.2222222222222222,0.2222222222222222,
mmocr ABINet,122,ceston,CC2D2B,0.0,0.0,yes
mmocr ABINet,123,fbx048,FBXO48,0.33333333333333337,0.3333333333333333,
mmocr ABINet,124,misse,MTND1P32,0.0,0.0,
mmocr ABINet,125,rpl8ap17,RPL18AP17,0.33333333333333337,0.35294117647058826,
mmocr ABINet,126,lemnninne,HMGN2P45,0.0,0.0,
mmocr ABINet,127,r12334223,RPL31P23,0.33333333333333337,0.35294117647058826,
mmocr ABINet,128,mea,RNU1-83P,0.0,0.0,yes
mmocr ABINet,129,ragee,RAB44,0.0,0.0,yes
mmocr ABINet,130,toe,RNU6-409P,0.0,0.0,
mmocr ABINet,131,gapdhpi4,GAPDHP14,0.125,0.125,
mmocr ABINet,132,setp,SETP1,0.0,0.0,
mmocr ABINet,133,get,MIRLET7F2,0.0,0.0,
mmocr ABINet,134,ratib,FRA11B,0.0,0.0,
mmocr ABINet,135,misp,MISP,0.0,0.0,
mmocr ABINet,136,tdrge,TDRG1,0.0,0.0,
mmocr ABINet,137,linc02012,LINC02012,0.5555555555555556,0.5555555555555556,
mmocr ABINet,138,mir7156,MIR7156,0.5714285714285714,0.5714285714285714,
mmocr ABINet,139,incutu,LINC01079,0.0,0.0,
mmocr ABINet,140,the,IGSF21,0.0,0.0,yes
mmocr ABINet,141,rer,RERG,0.0,0.0,
mmocr ABINet,142,rna5sp489,RNA5SP489,0.4444444444444444,0.4444444444444444,
mmocr ABINet,143,pabpctp3,PABPC1P13,0.11111111111111116,0.11764705882352941,
mmocr ABINet,144,acer2,ACER2,0.19999999999999996,0.2,
mmocr ABINet,145,1111130,RPL31P39,0.25,0.26666666666666666,
mmocr ABINet,146,rasl12,RASL12,0.33333333333333337,0.3333333333333333,
mmocr ABINet,147,hhipl2,HHIPL2,0.16666666666666663,0.16666666666666666,
mmocr ABINet,148,wac,WAC,0.0,0.0,
mmocr ABINet,149,p412214,PMS2P14,0.4285714285714286,0.42857142857142855,yes
mmocr ABINet,150,fosb,FOSB,0.0,0.0,
mmocr ABINet,151,tmem186,TMEM186,0.4285714285714286,0.42857142857142855,
mmocr ABINet,152,gmds,GMDS,0.0,0.0,
mmocr ABINet,153,cdc17p,CDC27P1,0.1428571428571429,0.15384615384615385,
mmocr ABINet,154,glis2as1,GLIS2-AS1,0.2222222222222222,0.23529411764705882,
mmocr ABINet,155,soe,MIR1251,0.0,0.0,
mmocr ABINet,156,rpl37p17,RPL37P17,0.5,0.5,
mmocr ABINet,157,inhuint,EMILIN1,0.0,0.0,
mmocr ABINet,158,rela,RELA,0.0,0.0,
mmocr ABINet,159,rnu670p,RNU6-70P,0.375,0.4,
mmocr ABINet,160,mon,MTND2P38,0.0,0.0,
mmocr ABINet,161,rpl22,RPL22,0.4,0.4,
mmocr ABINet,162,ane,CYP2C58P,0.0,0.0,yes
mmocr ABINet,163,msantd,MSANTD7,0.0,0.0,
mmocr ABINet,164,ser,RNU2-34P,0.0,0.0,
mmocr ABINet,165,tee,POLDIP2,0.0,0.0,yes
mmocr ABINet,166,pabpnily,PABPN1L,0.0,0.0,
mmocr ABINet,167,miroaul,MIR6801,0.0,0.0,yes
mmocr ABINet,168,aareaaa,ARHGAP42P4,0.0,0.0,
mmocr ABINet,169,rnu61235p,RNU6-1235P,0.5,0.5263157894736842,
mmocr ABINet,170,sanee,MIR1302-2,0.0,0.0,yes
mmocr ABINet,171,pudp,PUDP,0.0,0.0,
mmocr ABINet,172,acvr2basi,ACVR2B-AS1,0.09999999999999998,0.10526315789473684,
mmocr ABINet,173,tee,G2E3-AS1,0.0,0.0,yes
mmocr ABINet,174,rna5sp164,RNA5SP164,0.4444444444444444,0.4444444444444444,
mmocr ABINet,175,snora11g,SNORA11G,0.25,0.25,
mmocr ABINet,176,znf41,ZNF419,0.33333333333333337,0.36363636363636365,
mmocr ABINet,177,irgvil,TRGV11,0.0,0.0,
mmocr ABINet,178,znf222,ZNF222,0.5,0.5,
mmocr ABINet,179,rpl21p24,RPL21P24,0.5,0.5,
mmocr ABINet,180,clec4op,CLEC4OP,0.1428571428571429,0.14285714285714285,
mmocr ABINet,181,linioo7io,LINC00710,0.11111111111111116,0.1111111111111111,
mmocr ABINet,182,222222,ZNF723,0.16666666666666663,0.16666666666666666,
mmocr ABINet,183,texs,TBX5,0.0,0.0,
mmocr ABINet,184,krt73,KRT73,0.4,0.4,
mmocr ABINet,185,myl7,MYL7,0.25,0.25,
mmocr ABINet,186,tttyr,TTTY13C,0.0,0.0,
mmocr ABINet,187,rps26p14,RPS26P14,0.5,0.5,
mmocr ABINet,188,osbpl2,OSBPL2,0.16666666666666663,0.16666666666666666,
mmocr ABINet,189,trim60p3y,TRIM60P3Y,0.33333333333333337,0.3333333333333333,
mmocr ABINet,190,rxfp4,RXFP4,0.19999999999999996,0.2,
mmocr ABINet,191,rn7sl826p,RN7SL826P,0.4444444444444444,0.4444444444444444,
mmocr ABINet,192,uqcr11,UQCR11,0.33333333333333337,0.3333333333333333,
mmocr ABINet,193,galntl6as1,GALNTL6-AS1,0.18181818181818177,0.19047619047619047,
mmocr ABINet,194,rnugatac35p,RNU6ATAC35P,0.18181818181818177,0.18181818181818182,
mmocr ABINet,195,eve,LINC01165,0.0,0.0,yes
mmocr ABINet,196,i,DLX6-AS1,0.0,0.0,yes
mmocr ABINet,197,rps3ap54,RPS3AP54,0.375,0.375,
mmocr ABINet,198,acsmin,ACSM1,0.0,0.0,yes
mmocr ABINet,199,iglv331,IGLV3-31,0.375,0.4,
mmocr ABINet,200,hnrnpa1p6,HNRNPA1P61,0.19999999999999996,0.21052631578947367,
mmocr ABINet,201,linc01242,LINC01242,0.5555555555555556,0.5555555555555556,
mmocr ABINet,202,gamz446,FAM74A6,0.2857142857142857,0.2857142857142857,
mmocr ABINet,203,chhm,CNNM2,0.0,0.0,
mmocr ABINet,204,znhit3,ZNHIT3,0.16666666666666663,0.16666666666666666,
mmocr ABINet,205,plac9,PLAC9,0.19999999999999996,0.2,
mmocr ABINet,206,linco1550,LINC01550,0.4444444444444444,0.4444444444444444,
mmocr ABINet,207,rnf157,RNF157,0.5,0.5,
mmocr ABINet,208,chhsd2,FCHSD2,0.16666666666666663,0.16666666666666666,
mmocr ABINet,209,tafal,TAFA1,0.0,0.0,
mmocr ABINet,210,oa,NDUFA5P6,0.0,0.0,yes
mmocr ABINet,211,linco2547,LINC02547,0.4444444444444444,0.4444444444444444,
mmocr ABINet,212,mettle,METTL4,0.0,0.0,
mmocr ABINet,213,rad51d,RAD51D,0.33333333333333337,0.3333333333333333,
mmocr ABINet,214,snord169,SNORD169,0.375,0.375,
mmocr ABINet,215,ameee,TMEM191B,0.0,0.0,
mmocr ABINet,216,zfand2adt,ZFAND2A-DT,0.09999999999999998,0.10526315789473684,
mmocr ABINet,217,rn7sl254,RN7SL254P,0.4444444444444444,0.47058823529411764,
mmocr ABINet,218,litcc2291,LINC02791,0.33333333333333337,0.3333333333333333,
mmocr ABINet,219,trr,HRK,0.0,0.0,
mmocr ABINet,220,eya2asi,EYA2-AS1,0.125,0.13333333333333333,
mmocr ABINet,221,toe,KLF17P1,0.0,0.0,yes
mmocr ABINet,222,refere,RPL13AP22,0.0,0.0,
mmocr ABINet,223,qr6x,OR6X1,0.19999999999999996,0.2222222222222222,
mmocr ABINet,224,en3krf,FN3KRP,0.16666666666666663,0.16666666666666666,
mmocr ABINet,225,str4,SSTR1,0.0,0.0,
mmocr ABINet,226,trigatt,TRI-GAT1-2,0.0,0.0,
mmocr ABINet,227,viscsed,MSL3P1,0.0,0.0,
mmocr ABINet,228,seeeei,EEF1A1P16,0.0,0.0,yes
mmocr ABINet,229,elen1as1,ELFN1-AS1,0.2222222222222222,0.23529411764705882,
mmocr ABINet,230,rnu6739p,RNU6-739P,0.4444444444444444,0.47058823529411764,
mmocr ABINet,231,linc01878,LINC01878,0.5555555555555556,0.5555555555555556,
mmocr ABINet,232,rpl10p2,RPL10P2,0.4285714285714286,0.42857142857142855,
mmocr ABINet,233,a,NBPF25P,0.0,0.0,
mmocr ABINet,234,nme,NME1,0.0,0.0,
mmocr ABINet,235,renbd,RENBP,0.0,0.0,
mmocr ABINet,236,rnug225,RNU6-255P,0.2222222222222222,0.25,
mmocr ABINet,237,momess,MGST3,0.0,0.0,yes
mmocr ABINet,238,npm1p30,NPM1P30,0.4285714285714286,0.42857142857142855,
mmocr ABINet,239,m1r995,MIR598,0.16666666666666663,0.16666666666666666,
mmocr ABINet,240,2nf28ge,ZNF286B,0.2857142857142857,0.2857142857142857,
mmocr ABINet,241,marrre,MTRNR2L5,0.0,0.0,
mmocr ABINet,242,sf3b,SF3B6,0.19999999999999996,0.2222222222222222,
mmocr ABINet,243,snnee,SNORA14A,0.0,0.0,
mmocr ABINet,244,mirraaa,MIR548AI,0.0,0.0,
mmocr ABINet,245,prkarjap1,PRKAR1AP1,0.11111111111111116,0.1111111111111111,
mmocr ABINet,246,pcbs,PLCB3,0.0,0.0,
mmocr ABINet,247,b3galnts,B3GALNT2,0.125,0.125,
mmocr ABINet,248,bio,BTBD9,0.0,0.0,
mmocr ABINet,249,trraddi,TRAFD1,0.0,0.0,
mmocr ABINet,250,tee,MAGEA7P,0.0,0.0,yes
mmocr ABINet,251,ezh10,EZH1,0.19999999999999996,0.2222222222222222,
mmocr ABINet,252,orig2p,OR9G2P,0.16666666666666663,0.16666666666666666,
mmocr ABINet,253,reg3g,REG3G,0.19999999999999996,0.2,
mmocr ABINet,254,lid22,LIMD2,0.19999999999999996,0.2,
mmocr ABINet,255,kdm2a,KDM2A,0.19999999999999996,0.2,
mmocr ABINet,256,cncc2238,LINC02938,0.33333333333333337,0.35294117647058826,
mmocr ABINet,257,taneer,TAS2R15P,0.0,0.0,
mmocr ABINet,258,psma,PSMA1,0.0,0.0,
mmocr ABINet,259,raaeee,RNA5SP318,0.0,0.0,
mmocr ABINet,260,ao,RPL21P96,0.0,0.0,yes
mmocr ABINet,261,mapres,MAPRE3,0.0,0.0,
mmocr ABINet,262,mtnd5p44,MTND5P44,0.375,0.375,
mmocr ABINet,263,ak5,AK5,0.33333333333333337,0.3333333333333333,
mmocr ABINet,264,bmsip,BMS1P9,0.0,0.0,
mmocr ABINet,265,stbbpc,MYBPC3,0.0,0.0,
mmocr ABINet,266,she,LINC01558,0.0,0.0,
mmocr ABINet,267,ptbpip,PTBP1P,0.0,0.0,
mmocr ABINet,268,rnu415,RNU4-35P,0.25,0.2857142857142857,
mmocr ABINet,269,nsmce2,NSMCE2,0.16666666666666663,0.16666666666666666,
mmocr ABINet,270,igkvid12,IGKV1D-12,0.2222222222222222,0.23529411764705882,
mmocr ABINet,271,rnugatacisp,RNU6ATAC15P,0.0,0.0,
mmocr ABINet,272,rpl12p4,RPL12P4,0.4285714285714286,0.42857142857142855,
mmocr ABINet,273,srd5a1,SRD5A1,0.33333333333333337,0.3333333333333333,
mmocr ABINet,274,rps26pi,RPS26P1,0.2857142857142857,0.2857142857142857,
mmocr ABINet,275,addapt,AIDAP2,0.0,0.0,
mmocr ABINet,276,col4a3,COL4A3,0.33333333333333337,0.3333333333333333,
mmocr ABINet,277,fnl4,IFNL4,0.19999999999999996,0.2222222222222222,
mmocr ABINet,278,wdr75,WDR75,0.4,0.4,
mmocr ABINet,279,rn7s242p,RN7SL242P,0.4444444444444444,0.47058823529411764,
mmocr ABINet,280,ca2,CA2,0.33333333333333337,0.3333333333333333,
mmocr ABINet,281,an,CMA1,0.0,0.0,yes
mmocr ABINet,282,seee,IKZF1,0.0,0.0,
mmocr ABINet,283,snord888,SNORD88B,0.25,0.25,
mmocr ABINet,284,1181alb118,HSD11B1-AS1,0.18181818181818177,0.38095238095238093,
mmocr ABINet,285,tmem165,TMEM165,0.4285714285714286,0.42857142857142855,
mmocr ABINet,286,zbtb17451,ZBTB47-AS1,0.19999999999999996,0.10526315789473684,
mmocr ABINet,287,snx2,SNX2,0.25,0.25,
mmocr ABINet,288,c2orf83,C2orf83,0.8571428571428572,0.8571428571428571,
mmocr ABINet,289,dennd2basi,DENND2B-AS1,0.09090909090909094,0.09523809523809523,
mmocr ABINet,290,txingy,TXLNGY,0.0,0.0,
mmocr ABINet,291,rimklbp2,RIMKLBP2,0.125,0.125,
mmocr ABINet,292,mapak3dd,MAP4K3-DT,0.11111111111111116,0.11764705882352941,
mmocr ABINet,293,mir1297,MIR1297,0.5714285714285714,0.5714285714285714,
mmocr ABINet,294,rnu741p,RNU7-41P,0.375,0.4,
mmocr ABINet,295,mepeeeeaee,TEX21P,0.0,0.0,
mmocr ABINet,296,krtis,KRT18,0.0,0.0,
mmocr ABINet,297,pars1,RARS1,0.19999999999999996,0.2,
mmocr ABINet,298,mtnd2p36,MTND2P36,0.375,0.375,
mmocr ABINet,299,slc24a3a51,SLC24A3-AS1,0.36363636363636365,0.38095238095238093,
mmocr ABINet,300,rmi,RMI1,0.0,0.0,
mmocr ABINet,301,igkv3rr25,IGKV3OR2-5,0.30000000000000004,0.3157894736842105,
mmocr ABINet,302,plekha3p1,PLEKHA3P1,0.2222222222222222,0.2222222222222222,
mmocr ABINet,303,xooses,SCGB2A2,0.0,0.0,
mmocr ABINet,304,rap1bp1,RAP1BP1,0.2857142857142857,0.2857142857142857,
mmocr ABINet,305,sbbss,SSBL3P,0.0,0.0,
mmocr ABINet,306,arglu1,ARGLU1,0.16666666666666663,0.16666666666666666,
mmocr ABINet,307,lrrn3,LRRN3,0.19999999999999996,0.2,
mmocr ABINet,308,mir54813,MIR548I3,0.5,0.5,
mmocr ABINet,309,snrnp40,SNRNP40,0.2857142857142857,0.2857142857142857,
mmocr ABINet,310,slc45a3,SLC45A3,0.4285714285714286,0.42857142857142855,
mmocr ABINet,311,opp,UPP1,0.0,0.0,
mmocr ABINet,312,son,TRERF1,0.0,0.0,
mmocr ABINet,313,and,MAP4K5,0.0,0.0,yes
mmocr ABINet,314,senps,SENP1,0.0,0.0,
mmocr ABINet,315,defb129,DEFB129,0.4285714285714286,0.42857142857142855,
mmocr ABINet,316,mir150210,MIR1302-10,0.5,0.5263157894736842,
mmocr ABINet,317,flnng,FLNC,0.0,0.0,
mmocr ABINet,318,ca3,CA3,0.33333333333333337,0.3333333333333333,
mmocr ABINet,319,keyslsp,RN7SL68P,0.0,0.0,
mmocr ABINet,320,the,HNRNPCP10,0.0,0.0,yes
mmocr ABINet,321,frze,FRZB,0.0,0.0,
mmocr ABINet,322,clk4,CLK4,0.25,0.25,
mmocr ABINet,323,tmx3,TMX3,0.25,0.25,
mmocr ABINet,324,rna5s13,RNA5S13,0.4285714285714286,0.42857142857142855,
mmocr ABINet,325,rpl20p9,RPL26P9,0.2857142857142857,0.2857142857142857,
mmocr ABINet,326,aeee,IGHV1-69D,0.0,0.0,
mmocr ABINet,327,hotairm,HOTAIRM1,0.0,0.0,
mmocr ABINet,328,siglec31p,SIGLEC31P,0.2222222222222222,0.2222222222222222,
mmocr ABINet,329,a,IL17D,0.0,0.0,yes
mmocr ABINet,330,dsc3,DSC3,0.25,0.25,
mmocr ABINet,331,ndufa6dt,NDUFA6-DT,0.11111111111111116,0.11764705882352941,
mmocr ABINet,332,wbpip2,WBP1P2,0.16666666666666663,0.16666666666666666,
mmocr ABINet,333,mir492,MIR492,0.5,0.5,
mmocr ABINet,334,scd,SCD,0.0,0.0,
mmocr ABINet,335,mir12132,MIR12132,0.625,0.625,
mmocr ABINet,336,nnep1,RNU7-125P,0.11111111111111116,0.14285714285714285,
mmocr ABINet,337,ctnnd2,CTNND2,0.16666666666666663,0.16666666666666666,
mmocr ABINet,338,fgg,FRG1,0.0,0.0,
mmocr ABINet,339,mtnd2p16,MTND2P16,0.375,0.375,
mmocr ABINet,340,rab6a,RAB6A,0.19999999999999996,0.2,
mmocr ABINet,341,ighv44,IGHV4-4,0.2857142857142857,0.3076923076923077,
mmocr ABINet,342,a,MIR6870,0.0,0.0,yes
mmocr ABINet,343,deee,ADAMTS9,0.0,0.0,yes
mmocr ABINet,344,or7e148p,OR7E148P,0.5,0.5,
mmocr ABINet,345,referee,RPL23AP27,0.0,0.0,
mmocr ABINet,346,hspa8p1,HSPA8P17,0.25,0.26666666666666666,
mmocr ABINet,347,rpl29p24,RPL29P24,0.5,0.5,
mmocr ABINet,348,tifab,TIFAB,0.0,0.0,
mmocr ABINet,349,deneee,DENND5B,0.0,0.0,
mmocr ABINet,350,or52b2,OR52B2,0.5,0.5,
mmocr ABINet,351,brd7p6,BRD7P6,0.33333333333333337,0.3333333333333333,
mmocr ABINet,352,gopa,GNPATP,0.0,0.0,
mmocr ABINet,353,rnassp272,RNA5SP272,0.33333333333333337,0.3333333333333333,
mmocr ABINet,354,sirt7,SIRT7,0.19999999999999996,0.2,
mmocr ABINet,355,podhgba,PCDHGB2,0.0,0.0,
mmocr ABINet,356,linc01070,LINC01070,0.5555555555555556,0.5555555555555556,
mmocr ABINet,357,aldh3a2,ALDH3A2,0.2857142857142857,0.2857142857142857,
mmocr ABINet,358,oae,KIF19BP,0.0,0.0,yes
mmocr ABINet,359,mes,MIR4645,0.0,0.0,
mmocr ABINet,360,tmem9bas1,TMEM9B-AS1,0.19999999999999996,0.21052631578947367,
mmocr ABINet,361,osbplia,OSBPL1A,0.0,0.0,
mmocr ABINet,362,smcr5,SMCR5,0.19999999999999996,0.2,
mmocr ABINet,363,ravinboxx,RNU6-823P,0.0,0.0,
mmocr ABINet,364,aa,TIGD5,0.0,0.0,yes
mmocr ABINet,365,higdiap9,HIGD1AP9,0.125,0.125,
mmocr ABINet,366,mess,ERVH-1,0.0,0.0,yes
mmocr ABINet,367,tor,PA2G4P2,0.0,0.0,yes
mmocr ABINet,368,or5m2p,OR5M2P,0.33333333333333337,0.3333333333333333,
mmocr ABINet,369,dnajb5,DNAJB5,0.16666666666666663,0.16666666666666666,
mmocr ABINet,370,thoogg,BICDL3P,0.0,0.0,yes
mmocr ABINet,371,humididm,PCMTD1-DT,0.0,0.0,yes
mmocr ABINet,372,ltp5f1ap44,ATP5F1AP4,0.30000000000000004,0.3157894736842105,
mmocr ABINet,373,fcf18,FGF18,0.4,0.4,
mmocr ABINet,374,rn7sl494p,RN7SL494P,0.4444444444444444,0.4444444444444444,
mmocr ABINet,375,slc6a2,SLC6A2,0.33333333333333337,0.3333333333333333,
mmocr ABINet,376,hap,HAP1,0.0,0.0,
mmocr ABINet,377,rewss5sue,RN7SL503P,0.11111111111111116,0.1111111111111111,
mmocr ABINet,378,cox70,COX7C,0.19999999999999996,0.2,
mmocr ABINet,379,linco2926,LINC02926,0.4444444444444444,0.4444444444444444,
mmocr ABINet,380,the,GDF5,0.0,0.0,
mmocr ABINet,381,entt,FNTB,0.0,0.0,
mmocr ABINet,382,fra2d,FRA2D,0.19999999999999996,0.2,
mmocr ABINet,383,racip,RAC1P8,0.0,0.0,
